name,director,actors,genre,other,year,link
North of the Rio Grande,Nate Watt,NA,Western,NA,1937,/wiki/North_of_the_Rio_Grande
North Shore,William Phelps,Matt Adler,Surfing,NA,1987,/wiki/North_Shore_(film)
North to Alaska,Henry Hathaway,NA,Western comedy,20th Century Fox,1960,/wiki/North_to_Alaska
North West Mounted Police,Cecil B. DeMille,NA,Western,NA,1940,/wiki/North_West_Mounted_Police_(film)
Northern Lights,Linda Yellen,Diane Keaton,Family,First Disney Channel film,1997,/wiki/Northern_Lights_(1997_film)
Northern Patrol,Rex Bailey,NA,Drama,NA,1953,/wiki/Northern_Patrol_(film)
Northern Pursuit,Raoul Walsh,NA,War,Warner Bros.,1943,/wiki/Northern_Pursuit
Northwest Outpost,Allan Dwan,NA,Musical,Republic,1947,/wiki/Northwest_Outpost
Northwest Passage,NA,NA,Adventure,NA,1940,/wiki/Northwest_Passage_(film)
Northwest Rangers,Joseph M. Newman,NA,Drama,MGM,1942,/wiki/Northwest_Rangers
Norwood,"Jack Haley, Jr.",NA,Comedy,Paramount,1970,/wiki/Norwood_(film)
Not as a Stranger,Stanley Kramer,NA,Drama,United Artists,1955,/wiki/Not_as_a_Stranger
Not Easily Broken,Bill Duke,NA,Drama,NA,2009,/wiki/Not_Easily_Broken
Not for Publication,Paul Bartel,NA,Comedy,NA,1984,/wiki/Not_for_Publication
Not Forgotten,Dror Soref,NA,Thriller,NA,2009,/wiki/Not_Forgotten_(film)
Not of This Earth,Roger Corman,NA,Sci-fi,Allied Artists,1957,/wiki/Not_of_This_Earth_(1957_film)
Not Of This Earth,Jim Wynorski,Traci Lords,Sci-fi,NA,1988,/wiki/Not_of_This_Earth_(1988_film)
Not So Dumb,King Vidor,NA,Comedy,NA,1930,/wiki/Not_So_Dumb
"Not with My Wife, You Don't!",Norman Panama,NA,Comedy,Warner Bros.,1966,"/wiki/Not_with_My_Wife,_You_Don%27t!"
Not Without My Daughter,Brian Gilbert,NA,Drama,NA,1991,/wiki/Not_Without_My_Daughter_(film)
Nothin' 2 Lose,Barry Bowles,Brian Hooks,Comedy,NA,2000,/wiki/Nothin%27_2_Lose
Nothing But a Man,Michael Roemer,NA,Drama,NA,1964,/wiki/Nothing_But_a_Man
Nothing but the Truth,Elliott Nugent,NA,Comedy,Paramount,1941,/wiki/Nothing_but_the_Truth_(1941_film)
Nothing But the Truth,Rod Lurie,NA,Thriller,Yari Film Group,2008,/wiki/Nothing_but_the_Truth_(2008_American_film)
Nothing But Trouble,Sam Taylor,Laurel and Hardy,Comedy,MGM,1944,/wiki/Nothing_But_Trouble_(1944_film)
Nothing but Trouble,Dan Aykroyd,NA,Comedy,NA,1991,/wiki/Nothing_but_Trouble_(1991_film)
Nothing in Common,Gary Marshall,NA,Drama,Gleason's final film,1986,/wiki/Nothing_in_Common
Nothing Lasts Forever,Tom Schiller,NA,Comedy,not released in theaters or on DVD,1984,/wiki/Nothing_Lasts_Forever_(film)
Nothing Like the Holidays,Alfredo De Villa,NA,Drama,Overture Films,2008,/wiki/Nothing_Like_the_Holidays
Nothing Personal,George Bloomfield,NA,Comedy,A.I.P.,1980,/wiki/Nothing_Personal_(1980_film)
Nothing Sacred,William A. Wellman,NA,Comedy,United Artists,1937,/wiki/Nothing_Sacred_(film)
Nothing to Lose,Steve Oedekerk,NA,Comedy,Touchstone Pictures,1997,/wiki/Nothing_to_Lose_(1997_film)
Notorious,Alfred Hitchcock,NA,Suspense,NA,1946,/wiki/Notorious_(1946_film)
Notorious,"George Tillman, Jr.",NA,NA,Fox Searchlight Pictures,2009,/wiki/Notorious_(2009_film)
Notting Hill,Roger Michell,NA,Romantic comedy,NA,1999,/wiki/Notting_Hill_(film)
November,Greg Harrison,Courteney Cox,Thriller,NA,2004,/wiki/November_(film)
Novocaine,David Atkins,NA,Comedy,NA,2001,/wiki/Novocaine_(film)
Now and Forever,Henry Hathaway,NA,"Comedy, Romance",NA,1934,/wiki/Now_and_Forever_(1934_film)
Now and Then,Lesli Linka Glatter,NA,Comedy,New Line Cinema,1995,/wiki/Now_and_Then_(film)
Now I'll Tell,Edwin J. Burke,NA,Drama,NA,1934,/wiki/Now_I%27ll_Tell
"Now You See Him, Now You Don't",Robert Butler,NA,"Sci-fi, Comedy",Disney,1972,"/wiki/Now_You_See_Him,_Now_You_Don%27t"
"Now, Voyager",Irving Rapper,NA,Drama,NA,1942,"/wiki/Now,_Voyager"
Nowhere,Greg Araki,NA,Drama,NA,1997,/wiki/Nowhere_(film)
Nowhere to Hide,Mario Azzopardi,NA,Drama,NA,1987,/wiki/Nowhere_to_Hide_(1987_film)
Nowhere to Run,Carl Franklin,NA,Action,NA,1989,/wiki/Nowhere_to_Run_(1989_film)
Nowhere to Run,Robert Harmon,NA,Action,Columbia,1993,/wiki/Nowhere_to_Run_(1993_film)
Nude on the Moon,Doris Wishman,NA,Adult,NA,1961,/wiki/Nude_on_the_Moon
Numb,Harris Goldberg,Matthew Perry,Comedy-drama,NA,2007,/wiki/Numb_(film)
Number One,Tom Gries,NA,Drama,NA,1969,/wiki/Number_One_(1969_film)
Number One with a Bullet,Jack Smight,NA,Action,NA,1987,/wiki/Number_One_with_a_Bullet_(film)
Numbered Men,Mervyn LeRoy,NA,Prison drama,NA,1930,/wiki/Numbered_Men
Nurse Edith Cavell,Herbert Wilcox,NA,Biographical,RKO,1939,/wiki/Nurse_Edith_Cavell
Nuts,Martin Ritt,NA,Drama,NA,1987,/wiki/Nuts_(1987_film)
Nutty But Nice,Jules White,The Three Stooges,NA,NA,1940,/wiki/Nutty_But_Nice
Nutty Professor II: The Klumps,Peter Segal,NA,Comedy,NA,2000,/wiki/Nutty_Professor_II:_The_Klumps
O Pioneers!,Glenn Jordan,NA,Drama,TV,1992,/wiki/O_Pioneers!_(film)
"O, My Darling Clementine",Frank McDonald,NA,Musical,Republic,1943,"/wiki/O,_My_Darling_Clementine"
O. Henry's Full House,5 Directors,NA,Anthology,NA,1952,/wiki/O._Henry%27s_Full_House
O.C. and Stiggs,Robert Altman,NA,Comedy,"filmed in 1983, not released until '87",1987,/wiki/O.C._and_Stiggs
O.S.S.,Irving Pichel,NA,Suspense,Paramount,1946,/wiki/O.S.S._(film)
O'Shaughnessy's Boy,Richard Boleslawski,NA,Drama,NA,1935,/wiki/O%27Shaughnessy%27s_Boy
Oath of Vengeance,Sam Newfield,NA,Western,PRC,1944,/wiki/Oath_of_Vengeance
"Objective, Burma!",Raoul Walsh,Errol Flynn,Adventure,Warner Bros.,1945,"/wiki/Objective,_Burma!"
Obliging Young Lady,Richard Wallace,NA,Comedy,RKO,1942,/wiki/Obliging_Young_Lady
Obsessed,Steve Shill,NA,Thriller,Screen Gems,2009,/wiki/Obsessed_(2009_film)
Obsession,Brian De Palma,NA,Thriller,NA,1976,/wiki/Obsession_(1976_film)
Occupation 101,Sufyan and Abdallah Omeish,NA,Documentary,NA,2006,/wiki/Occupation_101
Ocean's Eleven,Lewis Milestone,NA,Crime drama,NA,1960,/wiki/Ocean%27s_Eleven_(1960_film)
Ocean's Eleven,Steven Soderbergh,NA,Crime,NA,2001,/wiki/Ocean%27s_Eleven_(2001_film)
Ocean's Twelve,Steven Soderbergh,NA,"Comedy, Crime",NA,2004,/wiki/Ocean%27s_Twelve
Octaman,Harry Essex,NA,sci-fi,Angeli's final film,1971,/wiki/Octaman
October Sky,Joe Johnston,NA,Drama,NA,1999,/wiki/October_Sky
Odds Against Tomorrow,Robert Wise,NA,Film noir,United Artists,1959,/wiki/Odds_Against_Tomorrow
Ode to Billy Joe,"Max Baer, Jr.",NA,Drama,NA,1976,/wiki/Ode_to_Billy_Joe_(film)
Of Fox and Hounds,Tex Avery,Willoughby the Dog,NA,NA,1940,/wiki/Of_Fox_and_Hounds
Of Human Bondage,John Cromwell,NA,Drama,NA,1934,/wiki/Of_Human_Bondage_(1934_film)
Of Human Bondage,Edmund Goulding,NA,Drama,NA,1946,/wiki/Of_Human_Bondage_(1946_film)
Of Human Hearts,Clarence Brown,NA,Drama,MGM,1938,/wiki/Of_Human_Hearts
Of Love and Desire,Richard Rush,NA,Drama,NA,1963,/wiki/Of_Love_and_Desire
Of Mice and Men,Lewis Milestone,NA,Drama,Hal Roach Studios,1939,/wiki/Of_Mice_and_Men_(1939_film)
Of Mice and Men,Gary Sinise,NA,Drama,NA,1992,/wiki/Of_Mice_and_Men_(1992_film)
Of Stars and Men,John Hubley,NA,Animated,NA,1964,/wiki/Of_Stars_and_Men
Of Unknown Origin,George P. Cosmatos,NA,Horror,Warner Bros.,1983,/wiki/Of_Unknown_Origin
Off Beat,Michael Dinner,NA,Comedy,NA,1986,/wiki/Off_Beat_(1986_film)
Off Limits,Christopher Crowe,NA,"Drama, War",NA,1988,/wiki/Off_Limits_(1988_film)
Off the Record,James Flood,NA,Drama,Warner Bros.,1939,/wiki/Off_the_Record_(film)
Offerings,Christopher Reynolds,NA,Horror,NA,1989,/wiki/Offerings_(film)
Office Killer,Cindy Sherman,NA,Comedy,Miramax,1997,/wiki/Office_Killer
Office Space,Mike Judge,NA,Comedy,based on Judge's cartoons,1999,/wiki/Office_Space
Officer 13,George Melford,NA,"Drama, Crime",NA,1932,/w/index.php?title=Officer_13&action=edit&redlink=1
"Oh Dad, Poor Dad, Mama's Hung You in the Closet and I'm Feelin' So Sad",Richard Quine,NA,Comedy,Paramount,1967,"/wiki/Oh_Dad,_Poor_Dad,_Mama%27s_Hung_You_in_the_Closet_and_I%27m_Feelin%27_So_Sad"
Oh Heavenly Dog,Joe Camp,NA,Comedy,NA,1980,/wiki/Oh_Heavenly_Dog
"Oh, Doctor!",Ray McCarey,NA,Comedy,NA,1937,"/w/index.php?title=Oh,_Doctor!&action=edit&redlink=1"
"Oh, God!",Carl Reiner,NA,Comedy,NA,1977,"/wiki/Oh,_God!"
"Oh, God! Book II",Gilbert Cates,NA,Comedy,NA,1980,"/wiki/Oh,_God!_Book_II"
"Oh, Men! Oh, Women!",Nunnally Johnson,NA,Comedy,20th Century Fox,1957,"/wiki/Oh,_Men!_Oh,_Women!"
"Oh, Saigon",Doan Hoang,NA,Documentary,NA,2007,"/wiki/Oh,_Saigon"
"Oh, What a Night",William Beaudine,NA,Comedy,Monogram,1944,"/wiki/Oh,_What_a_Night_(1944_film)"
"Oh, What a Night",Eric Till,NA,Drama,NA,1992,"/wiki/Oh,_What_a_Night_(1992_film)"
"Oh, You Beautiful Doll",John M. Stahl,NA,Musical,20th Century Fox,1949,"/wiki/Oh,_You_Beautiful_Doll_(film)"
Oh! Susanna,Joseph Kane,NA,Western,Republic,1951,/wiki/Oh!_Susanna_(film)
Oil for the Lamps of China,Mervyn LeRoy,NA,Drama,NA,1935,/wiki/Oil_for_the_Lamps_of_China_(film)
Oil's Well That Ends Well,Jules White,Three Stooges,Slapstick,Columbia,1958,/wiki/Oil%27s_Well_That_Ends_Well
Oily Hare,Robert McKimson,Bugs Bunny,Animated short,Warner Bros.,1952,/wiki/Oily_Hare
"Oily to Bed, Oily to Rise",Jules White,The Three Stooges,NA,Columbia,1939,"/wiki/Oily_to_Bed,_Oily_to_Rise"
"Okay, America!",Tay Garnett,NA,Drama,Universal,1932,"/wiki/Okay,_America!"
Okinawa Bulletins,NA,NA,NA,NA,1945,/wiki/Okinawa_Bulletins
Oklahoma Annie,R. G. Springsteen,NA,Western comedy,NA,1952,/wiki/Oklahoma_Annie
Oklahoma Crude,Stanley Kramer,NA,Drama,Columbia,1973,/wiki/Oklahoma_Crude_(film)
Oklahoma Cyclone,John P. McCarthy,NA,Western,NA,1930,/wiki/Oklahoma_Cyclone
Oklahoma Justice,Lewis D. Collins,NA,Western,Monogram,1951,/wiki/Oklahoma_Justice
Oklahoma Terror,Spencer Bennet,NA,Western,NA,1939,/wiki/Oklahoma_Terror
Oklahoma!,Fred Zinnemann,NA,Musical,NA,1955,/wiki/Oklahoma!_(1955_film)
Old Acquaintance,Vincent Sherman,NA,Drama,Warner Bros.,1943,/wiki/Old_Acquaintance
Old Dogs,Walt Becker,NA,"Comedy, Family",Walt Disney Pictures,2009,/wiki/Old_Dogs_(film)
Old English,Alfred E. Green,NA,Drama,NA,1930,/wiki/Old_English_(film)
Old Enough,Marisa Silver,NA,Teen,NA,1984,/wiki/Old_Enough
Old Gringo,Luis Puenzo,NA,Drama,NA,1989,/wiki/Old_Gringo
Old Joy,Kelly Reichardt,NA,Drama,NA,2006,/wiki/Old_Joy
Old Los Angeles,Joseph Kane,NA,Western,Republic,1948,/wiki/Old_Los_Angeles
Old Louisiana,NA,NA,Drama,NA,1937,/wiki/Old_Louisiana
Old Man Rhythm,Edward Ludwig,NA,Musical,NA,1935,/wiki/Old_Man_Rhythm
Old Rockin' Chair Tom,Hanna-Barbera,NA,NA,MGM,1948,/wiki/Old_Rockin%27_Chair_Tom
Old Yeller,Robert Stevenson,NA,Family,Disney,1957,/wiki/Old_Yeller_(1957_film)
Oliver & Company,George Scribner,NA,Animated,NA,1988,/wiki/Oliver_%26_Company
Oliver Twist,William J. Cowen,NA,Drama,NA,1933,/wiki/Oliver_Twist_(1933_film)
Oliver Twist,NA,NA,Family,Made-for-TV,1997,/wiki/Oliver_Twist_(1997_film)
Oliver's Story,John Korty,NA,Romance,NA,1978,/wiki/Oliver%27s_Story
Ollie Hopnoodle's Haven of Bliss,Dick Bartlett,NA,Comedy,made for TV,1988,/wiki/Ollie_Hopnoodle%27s_Haven_of_Bliss
Olly Olly Oxen Free,Richard Colla,NA,Family,NA,1978,/wiki/Olly_Olly_Oxen_Free_(film)
Omar Khayyam,William Dieterle,NA,Historical,Paramount,1957,/wiki/Omar_Khayyam_(film)
Omega Doom,Albert Pyun,Rutger Hauer,Sci-fi,NA,1997,/wiki/Omega_Doom
On a Clear Day You Can See Forever,Vincente Minnelli,NA,Musical,NA,1970,/wiki/On_a_Clear_Day_You_Can_See_Forever_(film)
On Again-Off Again,Edward F. Cline,NA,Musical comedy,NA,1937,/wiki/On_Again-Off_Again
On Borrowed Time,Harold S. Bucquet,NA,Comedy,MGM,1939,/wiki/On_Borrowed_Time
On Dangerous Ground,Nicholas Ray,NA,Film noir,RKO,1952,/wiki/On_Dangerous_Ground
On Deadly Ground,Steven Seagal,NA,Action,NA,1994,/wiki/On_Deadly_Ground
On Dress Parade,William Clemens,The Dead End Kids,Drama,Warner Bros.,1939,/wiki/On_Dress_Parade
On Golden Pond,Mark Rydell,NA,Drama,NA,1981,/wiki/On_Golden_Pond_(1981_film)
On Moonlight Bay,Roy Del Ruth,NA,Musical,NA,1951,/wiki/On_Moonlight_Bay_(film)
On Our Merry Way,King Vidor,NA,Comedy,United Artists,1948,/wiki/On_Our_Merry_Way
On the 2nd Day of Christmas,James Frawley,NA,Drama,Made-for-TV,1997,/wiki/On_the_2nd_Day_of_Christmas
On the Avenue,Roy Del Ruth,NA,Musical Comedy,Fox,1937,/wiki/On_the_Avenue
On the Beach,Stanley Kramer,NA,Science fiction,NA,1959,/wiki/On_the_Beach_(1959_film)
On the Black Hill,Andrew Grieve,NA,Drama,NA,1987,/wiki/On_the_Black_Hill_(film)
On the Double,Melville Shavelson,NA,Comedy,Paramount,1961,/wiki/On_the_Double_(film)
On the Edge,Rob Nilsson,NA,Drama,NA,1986,/wiki/On_the_Edge_(1986_film)
On the Edge of Innocence,Peter Werner,"Kellie Martin, Karen Young",NA,NA,1997,/wiki/On_the_Edge_of_Innocence
On the Line,Eric Bross,NA,Comedy,NA,2001,/wiki/On_the_Line_(2001_film)
On the Loose,Charles Lederer,NA,Drama,NA,1951,/wiki/On_the_Loose_(1951_film)
On the Right Track,Lee Philips,NA,Comedy,NA,1981,/wiki/On_the_Right_Track
On the Riviera,Walter Lang,NA,Musical,NA,1951,/wiki/On_the_Riviera
On the Sunny Side,Harold D. Schuster,NA,Comedy,20th Century Fox,1942,/wiki/On_the_Sunny_Side_(1942_film)
On the Threshold of Space,Robert D. Webb,NA,Science fiction,NA,1956,/wiki/On_the_Threshold_of_Space
On the Town,NA,NA,Musical,NA,1949,/wiki/On_the_Town_(film)
On the Waterfront,Elia Kazan,NA,Drama,NA,1954,/wiki/On_the_Waterfront
On Their Own,Otto Brower,NA,Comedy,20th Century Fox,1940,/wiki/On_Their_Own
On Trial,Terry O. Morse,NA,Drama,Warner Bros.,1939,/wiki/On_Trial_(1939_film)
On Your Back,Guthrie McClintic,NA,Drama,NA,1930,/wiki/On_Your_Back
On Your Toes,Ray Enright,NA,Musical,Warner Bros.,1939,/wiki/On_Your_Toes
Once a Lady,Guthrie McClintic,NA,Drama,NA,1931,/wiki/Once_a_Lady
Once a Thief,W. Lee Wilder,NA,Film noir,United Artists,1950,/wiki/Once_a_Thief_(1950_film)
Once a Thief,Ralph Nelson,NA,Crime,MGM,1965,/wiki/Once_a_Thief_(1965_film)
Once Before I Die,John Derek,NA,Drama,NA,1966,/wiki/Once_Before_I_Die
Once Bitten,Howard Storm,NA,Comedy,1st Carrey leading role,1985,/wiki/Once_Bitten_(1985_film)
Once in a Blue Moon,NA,NA,"Comedy, Drama",NA,1935,/w/index.php?title=Once_in_a_Blue_Moon_(1935_film)&action=edit&redlink=1
Once in a Lifetime,Russell Mack,NA,Comedy,Universal,1932,/wiki/Once_in_a_Lifetime_(1932_film)
Once in a Lifetime: The Extraordinary Story of the New York Cosmos,"Paul Crowder, John Dower",NA,Documentary,NA,2006,/wiki/Once_in_a_Lifetime:_The_Extraordinary_Story_of_the_New_York_Cosmos
Once Is Not Enough,Guy Green,NA,Drama,NA,1975,/wiki/Once_Is_Not_Enough_(film)
"Once More, My Darling",Robert Montgomery,NA,Romantic comedy,Universal,1949,"/wiki/Once_More,_My_Darling"
"Once More, with Feeling!",Stanley Donen,NA,Comedy,NA,1960,"/wiki/Once_More,_with_Feeling!"
Once Upon a Crime,Eugene Levy,NA,Comedy,MGM,1992,/wiki/Once_Upon_a_Crime
Once Upon a Forest,Charles Grosvenor,NA,Animated,NA,1993,/wiki/Once_Upon_a_Forest
Once Upon a Honeymoon,Leo McCarey,NA,Romantic comedy,RKO,1942,/wiki/Once_Upon_a_Honeymoon
Once Upon a Honeymoon,Gower Champion,Virginia Gibson,Musical,Short subject,1956,/wiki/Once_Upon_a_Honeymoon_(1956_film)
Once Upon a Horse...,Hal Kanter,NA,Western,Universal,1958,NA
Once Upon a Scoundrel,George Schaefer,NA,Comedy,NA,1974,/wiki/Once_Upon_a_Scoundrel
Once Upon a Time,Alexander Hall,NA,Comedy,Columbia,1944,/wiki/Once_Upon_a_Time_(1944_film)
Once Upon a Time in America,Sergio Leone,NA,Drama,NA,1984,/wiki/Once_Upon_a_Time_in_America
Once Upon a Time in Mexico,Robert Rodriguez,NA,Action,NA,2003,/wiki/Once_Upon_a_Time_in_Mexico
One Away,Sidney Hayers,NA,Drama,NA,1976,/wiki/One_Away_(film)
One Big Affair,Peter Godfrey,NA,Comedy,United Artists,1952,/wiki/One_Big_Affair
One Body Too Many,Frank McDonald,NA,Horror comedy,Paramount,1944,/wiki/One_Body_Too_Many
One Crazy Summer,Savage Steve Holland,NA,Comedy,Warner Bros.,1986,/wiki/One_Crazy_Summer
One Dangerous Night,Michael Gordon,NA,Mystery,Columbia,1943,/wiki/One_Dangerous_Night
One Desire,Jerry Hopper,NA,Romantic drama,Universal,1955,/wiki/One_Desire
One Eight Seven,Kevin Reynolds,NA,Thriller,NA,1997,/wiki/One_Eight_Seven
One False Move,Carl Franklin,NA,Thriller,co-written by Thornton,1992,/wiki/One_False_Move
One Fine Day,Michael Hoffman,NA,Romantic comedy,NA,1996,/wiki/One_Fine_Day_(film)
One Foot in Heaven,Irving Rapper,NA,Bio-pic,Warner Bros.,1941,/wiki/One_Foot_in_Heaven
One Foot in Hell,James B. Clark,NA,Western,20th Century Fox,1960,/wiki/One_Foot_in_Hell_(film)
One Frightened Night,Christy Cabanne,NA,"Comedy, Horror",NA,1935,/wiki/One_Frightened_Night
One Froggy Evening,NA,NA,Animation,NA,1955,/wiki/One_Froggy_Evening
One from the Heart,Francis Ford Coppola,NA,"Drama, Musical",American Zoetrope,1982,/wiki/One_from_the_Heart
One Girl's Confession,Hugo Haas,NA,Drama,Columbia,1953,/wiki/One_Girl%27s_Confession
One Good Cop,Heywood Gould,NA,Crime,NA,1991,/wiki/One_Good_Cop
One Got Fat,Dale Jennings,NA,Educational,15 minutes,1963,/wiki/One_Got_Fat
One Hour Photo,Mark Romanek,NA,Thriller,NA,2002,/wiki/One_Hour_Photo
One Hour with You,Ernst Lubitsch,NA,Musical,Paramount,1932,/wiki/One_Hour_with_You
One Hundred and One Dalmatians,3 directors,NA,Animated,NA,1961,/wiki/One_Hundred_and_One_Dalmatians
One Hundred Men and a Girl,Henry Koster,NA,Musical Comedy,Universal,1937,/wiki/One_Hundred_Men_and_a_Girl
One in a Million,Sidney Lanfield,NA,"Comedy, Musical",Fox,1936,/wiki/One_in_a_Million_(1936_film)
One Is a Lonely Number,Mel Stuart,NA,Drama,MGM,1972,/wiki/One_Is_a_Lonely_Number
One Last Fling,Peter Godfrey,Alexis Smith,Comedy,Warner Bros.,1949,/wiki/One_Last_Fling
One Little Indian,Bernard McEveety,NA,Western,Disney,1973,/wiki/One_Little_Indian_(film)
One Magic Christmas,Phillip Borsos,NA,Family,Disney,1985,/wiki/One_Magic_Christmas
One Man's Hero,Lance Hool,NA,War,NA,1999,/wiki/One_Man%27s_Hero
One Man's Law,George Sherman,NA,Western,Republic,1940,/wiki/One_Man%27s_Law
One Man's Way,Denis Sanders,NA,Biography,NA,1963,/wiki/One_Man%27s_Way
One Mile from Heaven,Allan Dwan,NA,Drama,Fox,1937,/wiki/One_Mile_from_Heaven
One Million B.C.,NA,NA,Fantasy,NA,1940,/wiki/One_Million_B.C.
One Minute to Zero,Tay Garnett,NA,War,RKO,1952,/wiki/One_Minute_to_Zero_(1952_film)
One More River,James Whale,NA,Drama,NA,1934,/wiki/One_More_River
One More Saturday Night,Dennis Klein,NA,Comedy,Columbia,1986,/wiki/One_More_Saturday_Night_(film)
One More Spring,Henry King,NA,Comedy drama,NA,1935,/wiki/One_More_Spring
One More Time,Jerry Lewis,NA,Comedy,NA,1970,/wiki/One_More_Time_(1970_film)
One More Tomorrow,Peter Godfrey,NA,Drama,Warner Bros.,1946,/wiki/One_More_Tomorrow_(film)
One More Train to Rob,Victor McLaglen,NA,western,Universal,1971,/wiki/One_More_Train_to_Rob
One Mysterious Night,Budd Boetticher,NA,Crime drama,Columbia,1944,/wiki/One_Mysterious_Night
One Night at McCool's,Harald Zwart,NA,Comedy,NA,2001,/wiki/One_Night_at_McCool%27s
One Night in Lisbon,Edward H. Griffith,NA,Thriller,Paramount,1941,/wiki/One_Night_in_Lisbon
One Night in the Tropics,A. Edward Sutherland,NA,Comedy,NA,1940,/wiki/One_Night_in_the_Tropics
One Night of Love,Victor Schertzinger,NA,Musical,NA,1934,/wiki/One_Night_of_Love
One Night Stand,Mike Figgis,NA,Drama,New Line Cinema,1997,/wiki/One_Night_Stand_(1997_film)
One Night with the King,Michael O. Sajbel,Tiffany Dupont,Drama,NA,2006,/wiki/One_Night_with_the_King
One of Our Dinosaurs Is Missing,Robert Stevenson,NA,Family,Disney,1975,/wiki/One_of_Our_Dinosaurs_Is_Missing
One on One,Lamont Johnson,NA,Drama,co-written by Benson,1977,/wiki/One_on_One_(film)
"One Potato, Two Potato",Larry Peerce,NA,Drama,NA,1964,"/wiki/One_Potato,_Two_Potato_(film)"
One Rainy Afternoon,Rowland V. Lee,NA,Comedy,NA,1936,/wiki/One_Rainy_Afternoon
One Summer Love,Gilbert Cates,NA,Romance,NA,1976,/wiki/One_Summer_Love
One Sunday Afternoon,Stephen Roberts,NA,Romantic comedy,NA,1933,/wiki/One_Sunday_Afternoon
One Sunday Afternoon,Raoul Walsh,NA,Musical,Warner Bros.,1948,/wiki/One_Sunday_Afternoon_(1948_film)
One Survivor Remembers,NA,NA,NA,NA,1994,/wiki/One_Survivor_Remembers
One Thrilling Night,William Beaudine,NA,Romantic comedy,Paramount,1942,/wiki/One_Thrilling_Night
One Touch of Venus,William A. Seiter,NA,Comedy,Universal,1948,/wiki/One_Touch_of_Venus_(film)
One Tough Cop,Bruno Barreto,NA,Action,NA,1998,/wiki/One_Tough_Cop
One Trick Pony,Robert M. Young,NA,"Musical, Drama",written by Simon,1980,/wiki/One-Trick_Pony_(film)
One True Thing,Carl Franklin,NA,Drama,NA,1998,/wiki/One_True_Thing
One Way Passage,Tay Garnett,NA,Drama,Warner Bros.,1932,/wiki/One_Way_Passage
One Way Street,Hugo Fregonese,NA,Film noir,Universal,1950,/wiki/One_Way_Street
One-Eyed Jacks,Marlon Brando,NA,Western,NA,1961,/wiki/One-Eyed_Jacks
"One, Two, Three",Billy Wilder,NA,Comedy,NA,1961,"/wiki/One,_Two,_Three"
Onionhead,Norman Taurog,NA,"Drama, Comedy",Warner Bros.,1958,/wiki/Onionhead
Only Angels Have Wings,Howard Hawks,NA,Drama,Columbia,1939,/wiki/Only_Angels_Have_Wings
Only for You,Donna Persico,Shea Curry,Romance,NA,2007,/wiki/Only_for_You_(film)
Only the Brave,Frank Tuttle,NA,"Drama, War",NA,1930,/wiki/Only_the_Brave_(1930_film)
Only the Lonely,Chris Columbus,NA,Comedy,Fox,1991,/wiki/Only_the_Lonely_(film)
Only the Strong,Sheldon Lettich,NA,Action,NA,1993,/wiki/Only_the_Strong_(film)
Only the Valiant,Gordon Douglas,NA,Western,Warner Bros.,1951,/wiki/Only_the_Valiant
Only Two Can Play,Sidney Gilliat,NA,Comedy,British Lion Films,1962,/wiki/Only_Two_Can_Play
Only When I Laugh,Glenn Jordan,NA,Drama,NA,1981,/wiki/Only_When_I_Laugh_(film)
Only Yesterday,John M. Stahl,NA,Drama,NA,1933,/wiki/Only_Yesterday_(1933_film)
Only You,Betty Thomas,NA,Romantic comedy,Thomas's first film,1992,/wiki/Only_You_(1992_film)
Only You,Norman Jewison,NA,Romantic comedy,NA,1994,/wiki/Only_You_(1994_film)
Open Range,Kevin Costner,NA,Western drama,NA,2003,/wiki/Open_Range_(2003_film)
Open Season,Peter Collinson,NA,Drama,Columbia,1974,/wiki/Open_Season_(1974_film)
Open Season,NA,NA,Animation,NA,2006,/wiki/Open_Season_(2006_film)
Open Secret,John Reinhardt,NA,Drama,NA,1948,/wiki/Open_Secret
Open Water,Chris Kentis,NA,"Drama, Thriller",NA,2003,/wiki/Open_Water_(film)
